"","species","temp","injury_level","recov","replicate","TRT","Lactic_acid","Alanine","Valine","Leucine","Phosphoric_acid","Glycerol","Isoleucine","Proline","Glycine","Succinic_acid","Fumaric_acid","Pipecolic_acid","Serine","Threonine","Malic_acid","Methionine","Aspartate","GABA","Glutamate","Phenylalanine","Asparagine","Putrescine","Ornithine","Citric_acid","Fructose","Glucose","Lysine","Tyrosine","Mannitol","Inositol","Sucrose","Trehalose"
"104","SA",-5,"F","R",1,"F_R",0.805670704,3.755484612,1.279176317,0.72160133,21.76316013,0.334762862,0.891015028,3.617840454,0.739732892,0.497669101,0.462166152,0.193202499,1.01608286,0.664440886,1.407166205,0.866856513,1.276110728,1.826336104,6.685766297,0.66899508,6.983076978,0.007647806,0.637104391,1.718302832,0.338917524,29.53873559,4.101856205,2.803830458,0.180219236,0.651308236,0.349995386,35.0269801
"105","SA",-5,"F","R",2,"F_R",0.956167632,3.740714212,3.713718912,0.859352479,13.45252582,0.359576463,2.572990689,2.580954938,0.94056563,0.66387215,0.798517884,0.234001276,1.545914743,1.9939801,1.772741992,0.795697274,1.232738947,2.058239308,5.495419793,1.658746289,7.875984182,0.084708071,0.704464698,1.354071689,1.844073592,29.13500371,4.152994323,4.208434706,2.053367645,0.472015422,0.374627069,31.1795144
"106","SA",-5,"F","R",3,"F_R",1.133778959,3.242611319,2.493197011,0.508239198,11.55358406,0.35790602,1.554686188,3.623698645,0.767162293,0.67587989,0.856433443,0.273760567,1.162770621,1.334177998,2.096743871,0.838683027,1.285559575,2.122126782,5.28884817,1.099496012,6.282173358,0.077432458,0.767177364,1.162210991,1.645661969,26.02910251,2.862336673,3.273009175,2.241821947,0.56604563,0.379909523,36.40026642
"107","SA",-5,"F","R",4,"F_R",1.097458666,3.719728603,3.36147189,0.622856228,11.69338513,0.350506347,2.093234845,3.602739452,0.638305301,0.4790239,0.360363843,0.193261204,1.039641878,1.653109883,1.466582153,0.607686589,1.025453412,1.896078122,5.423189109,1.019883419,5.042847941,0.07371884,0.437247847,0.965006222,1.339066325,35.23764206,1.944398104,5.682875798,1.19903445,0.406331598,0.289581636,36.3380011
"108","SA",-5,"F","R",5,"F_R",0.591004513,2.851711254,0.79494983,0.51375254,11.10508324,0.256639248,0.586823642,3.138204176,0.488326998,0.480617005,0.317460814,0.190810433,0.71644874,0.528784871,1.018392333,0.514977568,0.789848432,1.215691306,4.293446265,0.535672283,3.115177127,0.07860492,0.448721943,0.923177621,0.32922975,24.60024738,2.430136104,2.087831116,0.281111395,0.460224309,0.321706879,29.77693998
"109","SA",-5,"F","R",6,"F_R",0.724352233,1.356243316,1.144468638,0.384531297,17.13864023,0.331878188,0.904248837,1.417031773,0.924707069,0.452282207,0.243360428,0.268931837,0.74277811,0.673494297,1.326601273,0.433547095,1.357179401,1.252672484,7.434162817,0.74849576,6.124081554,0.0512860454285714,0.197242373,1.040491293,0.518643512,39.49512555,1.48054178,7.094219467,0.978176638,0.178919756,0.052608749,37.43286101
"110","SA",-5,"F","R",7,"F_R",0.272184278,2.798686941,2.201084664,0.4537223,13.40852238,0.331878188,1.339156032,2.301581942,0.668819924,0.223932952,0.201554454,0.273777697,1.031927101,1.184104123,1.142224294,0.336237893,0.972820739,2.341755292,6.824968926,0.679102011,3.497886412,0.013935377,0.219041187,0.659757486,1.403327544,46.95573287,2.359728829,8.233577062,1.873386258,0.528077393,0.053086713,37.73400763
"111","SA",-5,"F","R",8,"F_R",0.317161059,3.447517669,2.352959123,0.601861496,14.50867868,0.331878188,1.377529046,3.062188071,0.953342938,0.297346041,0.280444459,0.115927474,1.443297001,1.444236815,1.045947278,0.541702304,1.332287606,2.535050759,7.213530067,1.053418697,8.462041569,0.022954846,0.29313633,0.772053295,1.696315907,53.06233802,6.652091645,20.04001692,1.54604348,0.409390882,0.198823543,47.92711091
"112","RP",20,"C","D",1,"C_D",0.297810667,5.082474215,0.870839082,0.665096383,13.58267477,0.182048611,0.552662726,2.042447875,0.614843564,0.395204757,0.288203718,0.186145906,1.004780767,0.826092491,0.691211575,0.667629068,0.291415046,1.464035102,4.473145183,0.570563157,7.589202302,0.354773358,0.465405081,0.866196949,0.229607178,31.64974934,5.171223554,3.962940956,0.439675852,1.076886204,0.317690228,30.45463267
"113","RP",20,"C","D",2,"C_D",0.53976145,4.702893895,1.302487334,1.015539247,12.92115041,0.335403313,0.993395545,3.278691266,0.932103132,0.883700279,0.863623876,0.314720294,1.284147428,1.061997883,1.117524416,0.635645372,1.009890597,1.146363604,5.262398798,1.036550646,6.659111976,0.595942179,0.859239839,1.13354781,0.575790105,32.20974714,3.846689112,4.130505107,2.953994518,0.876104031,0.478918519,45.07939359
